pixel_x,pixel_y,z_smpl_m,z_vggt_raw,scale_ratio,valid
230.0,118.0,9.107141494750977,0.9473385214805603,9.613397598266602,1
232.0,118.0,9.242701530456543,0.94769287109375,9.75284481048584,1
233.0,118.0,9.2371187210083,0.9475849270820618,9.748064041137695,1
235.0,118.0,9.23681926727295,0.9469380378723145,9.754406929016113,1
239.0,118.0,9.236994743347168,0.9466068744659424,9.758005142211914,1
242.0,118.0,9.107403755187988,0.9468719959259033,9.61841106414795,1
244.0,118.0,9.118316650390625,0.9480952620506287,9.617510795593262,1
245.0,118.0,9.214751243591309,0.948980987071991,9.710153579711914,1
246.0,118.0,9.138949394226074,0.9495296478271484,9.624711990356445,1
247.0,118.0,9.18149471282959,0.9501816034317017,9.662883758544922,1
248.0,118.0,9.182952880859375,0.9485726356506348,9.680811882019043,1
329.0,118.0,8.460968017578125,0.8688886165618896,9.737689971923828,1
229.0,119.0,9.111639976501465,0.9475064277648926,9.61644172668457,1
232.0,119.0,9.099990844726562,0.9479753971099854,9.599395751953125,1
243.0,119.0,9.112964630126953,0.9475336670875549,9.617563247680664,1
245.0,119.0,9.134211540222168,0.9491416215896606,9.623655319213867,1
246.0,119.0,9.18925952911377,0.950162947177887,9.671245574951172,1
247.0,119.0,9.200469970703125,0.9510449767112732,9.674063682556152,1
304.0,119.0,8.524404525756836,0.8818435668945312,9.666572570800781,1
222.0,120.0,9.170044898986816,0.9490572214126587,9.662267684936523,1
229.0,120.0,9.217048645019531,0.9473883509635925,9.728901863098145,1
243.0,120.0,9.227842330932617,0.9478906989097595,9.735133171081543,1
246.0,120.0,9.200057983398438,0.9513818025588989,9.670206069946289,1
249.0,120.0,9.166953086853027,0.9583832025527954,9.565018653869629,1
288.0,120.0,8.724800109863281,0.8946912884712219,9.75174331665039,1
300.0,120.0,8.707597732543945,0.8850353956222534,9.838700294494629,1
317.0,120.0,8.676301956176758,0.8708881735801697,9.962590217590332,1
341.0,120.0,8.457135200500488,0.869026780128479,9.731731414794922,1
291.0,121.0,8.724620819091797,0.8922954797744751,9.777726173400879,1
338.0,121.0,8.591350555419922,0.8679671883583069,9.89824390411377,1
243.0,122.0,9.223784446716309,0.9498384594917297,9.710898399353027,1
249.0,122.0,9.172189712524414,0.9752100110054016,9.40534782409668,1
311.0,122.0,8.695229530334473,0.8748986721038818,9.938555717468262,1
225.0,123.0,9.127677917480469,0.948102593421936,9.627310752868652,1
245.0,123.0,9.144495964050293,0.9533206224441528,9.592256546020508,1
280.0,123.0,8.684317588806152,0.9000089764595032,9.649145126342773,1
305.0,123.0,8.715686798095703,0.8795413970947266,9.909353256225586,1
311.0,123.0,8.49367618560791,0.8747106194496155,9.710269927978516,1
331.0,123.0,8.445541381835938,0.8663069605827332,9.7489013671875,1
235.0,124.0,9.10714054107666,0.94756680727005,9.611080169677734,1
245.0,124.0,9.149340629577637,0.9545420408248901,9.585058212280273,1
246.0,124.0,9.150192260742188,0.958092987537384,9.550421714782715,1
293.0,124.0,8.728620529174805,0.889431357383728,9.813709259033203,1
333.0,124.0,8.629959106445312,0.8665364384651184,9.959141731262207,1
335.0,124.0,8.439631462097168,0.8667725324630737,9.736846923828125,1
222.0,125.0,9.141070365905762,0.9482977986335754,9.639451026916504,1
226.0,125.0,9.202348709106445,0.9477741122245789,9.709432601928711,1
243.0,125.0,9.130301475524902,0.9548855423927307,9.561671257019043,1
246.0,125.0,9.15603256225586,0.9640706777572632,9.497262954711914,1
247.0,125.0,9.160857200622559,0.9768566489219666,9.377893447875977,1
325.0,125.0,8.665851593017578,0.866926372051239,9.996064186096191,1
244.0,126.0,9.20351791381836,0.9567007422447205,9.6200590133667,1
246.0,126.0,9.160748481750488,0.9710246920585632,9.434104919433594,1
